Caption,Name,Description,InstallSource
Microsoft.NET.Sdk.Android.Manifest-6.0.300,Microsoft.NET.Sdk.Android.Manifest-6.0.300,Microsoft.NET.Sdk.Android.Manifest-6.0.300,C:\Windows\Installer\1cfeaee.msi
vs_communitymsires,vs_communitymsires,vs_communitymsires,C:\Windows\Installer\1bb969d.msi
vs_clickoncebootstrappermsires,vs_clickoncebootstrappermsires,vs_clickoncebootstrappermsires,C:\Windows\Installer\1c4b194.msi
vs_minshellinteropsharedmsi,vs_minshellinteropsharedmsi,vs_minshellinteropsharedmsi,C:\Windows\Installer\1bb967f.msi
Microsoft ASP.NET Core 6.0.7 Shared Framework (x86),Microsoft ASP.NET Core 6.0.7 Shared Framework (x86),Microsoft ASP.NET Core 6.0.7 Shared Framework (x86),C:\Windows\Installer\1c4b1c1.msi
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64),Microsoft .NET Standard Targeting Pack - 2.1.0 (x64),Microsoft .NET Standard Targeting Pack - 2.1.0 (x64),C:\Windows\Installer\1cfeae9.msi
vs_filehandler_amd64,vs_filehandler_amd64,vs_filehandler_amd64,C:\Windows\Installer\1bb9675.msi
icecap_collection_x64,icecap_collection_x64,icecap_collection_x64,C:\Windows\Installer\1db53c4.msi
vs_devenvsharedmsi,vs_devenvsharedmsi,vs_devenvsharedmsi,C:\Windows\Installer\1bb9689.msi
icecap_collection_neutral,icecap_collection_neutral,icecap_collection_neutral,C:\Windows\Installer\1db53c9.msi
Brackets,Brackets,Brackets,C:\Windows\Installer\36607026.msi
DiagnosticsHub_CollectionService,DiagnosticsHub_CollectionService,DiagnosticsHub_CollectionService,C:\Windows\Installer\1db53b5.msi
Microsoft .NET Targeting Pack - 6.0.7 (x86),Microsoft .NET Targeting Pack - 6.0.7 (x86),Microsoft .NET Targeting Pack - 6.0.7 (x86),C:\Windows\Installer\1c4b1f3.msi
vs_minshellmsires,vs_minshellmsires,vs_minshellmsires,C:\Windows\Installer\1bb9661.msi
Проверка работоспособности ПК Windows,Проверка работоспособности ПК Windows,Проверка работоспособности ПК Windows,C:\Windows\Installer\adcd2d.msi
Python 3.10.5 Test Suite (64-bit),Python 3.10.5 Test Suite (64-bit),Python 3.10.5 Test Suite (64-bit),C:\Windows\Installer\ade9bd8.msi
Python 3.10.5 Tcl/Tk Support (64-bit),Python 3.10.5 Tcl/Tk Support (64-bit),Python 3.10.5 Tcl/Tk Support (64-bit),C:\Windows\Installer\ade9be7.msi
Python 3.10.5 Development Libraries (64-bit),Python 3.10.5 Development Libraries (64-bit),Python 3.10.5 Development Libraries (64-bit),C:\Windows\Installer\ade9bce.msi
VS Script Debugging Common,VS Script Debugging Common,VS Script Debugging Common,C:\Windows\Installer\1bb9657.msi
Microsoft ASP.NET Core 6.0.7 Targeting Pack (x64),Microsoft ASP.NET Core 6.0.7 Targeting Pack (x64),Microsoft ASP.NET Core 6.0.7 Targeting Pack (x64),C:\Windows\Installer\1c4b1d0.msi
Microsoft .NET Framework 4.7.2 Targeting Pack,Microsoft .NET Framework 4.7.2 Targeting Pack,Microsoft .NET Framework 4.7.2 Targeting Pack,C:\Windows\Installer\1c4b165.msi
Microsoft Visual Studio Setup WMI Provider,Microsoft Visual Studio Setup WMI Provider,Microsoft Visual Studio Setup WMI Provider,C:\Windows\Installer\1bb9652.msi
Microsoft .NET SDK 6.0.302 (x64) from Visual Studio,Microsoft .NET SDK 6.0.302 (x64) from Visual Studio,Microsoft .NET SDK 6.0.302 (x64) from Visual Studio,C:\Windows\Installer\1c4b1bc.msi
Microsoft .NET Framework 4.7 Targeting Pack,Microsoft .NET Framework 4.7 Targeting Pack,Microsoft .NET Framework 4.7 Targeting Pack,C:\Windows\Installer\1db53ec.msi
Microsoft ASP.NET Core 6.0.7 Shared Framework (x64),Microsoft ASP.NET Core 6.0.7 Shared Framework (x64),Microsoft ASP.NET Core 6.0.7 Shared Framework (x64),C:\Windows\Installer\1c4b1c6.msi
Python 3.10.5 Core Interpreter (64-bit),Python 3.10.5 Core Interpreter (64-bit),Python 3.10.5 Core Interpreter (64-bit),C:\Windows\Installer\ade9bc4.msi
Entity Framework 6.2.0 Tools  for Visual Studio 2022,Entity Framework 6.2.0 Tools  for Visual Studio 2022,Entity Framework 6.2.0 Tools  for Visual Studio 2022,C:\Windows\Installer\1db53ce.msi
Python 3.10.5 Executables (64-bit),Python 3.10.5 Executables (64-bit),Python 3.10.5 Executables (64-bit),C:\Windows\Installer\ade9bc9.msi
Microsoft.NET.Workload.Mono.Toolchain.Manifest,Microsoft.NET.Workload.Mono.Toolchain.Manifest,Microsoft.NET.Workload.Mono.Toolchain.Manifest,C:\Windows\Installer\1cfeb07.msi
Java Auto Updater,Java Auto Updater,Java Auto Updater,C:\Windows\Installer\2319291.msi
vs_BlendMsi,vs_BlendMsi,vs_BlendMsi,C:\Windows\Installer\1db53fb.msi
LEGO® MINDSTORMS® Education EV3 Classroom,LEGO® MINDSTORMS® Education EV3 Classroom,LEGO® MINDSTORMS® Education EV3 Classroom,C:\Windows\Installer\2dba.msi
